claim_id,parent_sku,component_sku,component_type,failure_date,failure_reason,within_warranty
WC-88046,TPADT14-R7-16-512,SSD-512-NVME-L1,Storage,2026-01-01,SMART errors / failing drive,FALSE
WC-88009,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-01-02,Swelling,TRUE
WC-88042,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-01-03,Battery not detected,TRUE
WC-88005,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-01-09,No power / dead board,TRUE
WC-88029,ELITEBOOK840G7-I7-16-512,SSD-512-NVME-H1,Storage,2026-01-09,SMART errors / failing drive,TRUE
WC-88014,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-01-12,Hinge assembly snapped,TRUE
WC-88038,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-01-13,No power / dead board,TRUE
WC-88030,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-01-17,Hinge cracked,FALSE
WC-88018,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-01-18,No power / dead board,TRUE
WC-88048,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-01-28,Hinge assembly snapped,TRUE
WC-88015,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-02-01,Loose hinge / screen wobble,TRUE
WC-88037,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-02-05,Charging circuit failure,TRUE
WC-88034,ELITEBOOK840G7-I7-16-512,KB-BL-US-H1,Keyboard,2026-02-05,Keys unresponsive,TRUE
WC-88050,TPADT14-R7-16-512,KB-BL-US-L1,Keyboard,2026-02-09,Backlight failure,TRUE
WC-88039,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-02-10,Charging circuit failure,TRUE
WC-88024,ELITEBOOK840G7-I7-16-512,DISP-14-FHD-IPS-H1,Display,2026-02-13,Dead pixels,TRUE
WC-88006,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-03-01,No power / dead board,TRUE
WC-88020,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-03-01,No power / dead board,TRUE
WC-88002,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-03-12,Random shutdowns,TRUE
WC-88045,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-03-17,Won't hold charge,TRUE
WC-88016,LAT5420-I5-16-256,KB-BL-US-D1,Keyboard,2026-03-17,Sticky keys after spill,TRUE
WC-88010,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-03-29,Won't hold charge,TRUE
WC-88013,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-03-30,Hinge assembly snapped,TRUE
WC-88022,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-04-01,Random shutdowns,TRUE
WC-88017,LAT5420-I5-16-256,KB-BL-US-D1,Keyboard,2026-04-03,Sticky keys after spill,TRUE
WC-88012,LAT5420-I5-16-256,SSD-256-NVME-D1,Storage,2026-04-08,Drive not detected,TRUE
WC-88025,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-04-08,Won't hold charge,FALSE
WC-88040,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-04-09,Charging circuit failure,TRUE
WC-88036,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-04-20,Charging circuit failure,TRUE
WC-88021,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-04-27,Board fails POST,TRUE
WC-88041,TPADT14-R7-16-512,DISP-14-FHD-IPS-L1,Display,2026-04-30,Backlight bleed,FALSE
WC-88035,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-05-18,Board fails POST,TRUE
WC-88051,TPADT14-R7-16-512,KB-BL-US-L1,Keyboard,2026-05-19,Sticky keys after spill,FALSE
WC-88004,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-05-20,No power / dead board,TRUE
WC-88031,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-05-26,Hinge assembly snapped,TRUE
WC-88008,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-05-31,Won't hold charge,TRUE
WC-88049,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-06-13,Hinge assembly snapped,TRUE
WC-88001,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-06-13,No power / dead board,TRUE
WC-88026,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-06-13,Battery not detected,TRUE
WC-88033,ELITEBOOK840G7-I7-16-512,KB-BL-US-H1,Keyboard,2026-06-14,Backlight failure,TRUE
WC-88032,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-06-17,Loose hinge / screen wobble,TRUE
WC-88043,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-06-24,Battery not detected,TRUE
WC-88027,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-06-25,Won't hold charge,TRUE
WC-88023,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-06-29,No power / dead board,TRUE
WC-88007,LAT5420-I5-16-256,DISP-14-FHD-IPS-D1,Display,2026-07-03,Backlight bleed,TRUE
WC-88003,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-07-08,No power / dead board,TRUE
WC-88011,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-07-15,Won't hold charge,TRUE
WC-88047,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-07-15,Hinge cracked,TRUE
WC-88044,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-07-16,Battery not detected,TRUE
WC-88019,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-07-17,Board fails POST,FALSE
WC-88028,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-07-18,Swelling,TRUE
